 Flow Duration,Total Length of Fwd Packets, Flow Packets/s, Flow IAT Mean, Flow IAT Std, Average Packet Size,Active Mean, Active Std,Idle Mean, Idle Std, Label
244,64,16393.44262,81.33333333,134.8122151,48,0,0,0,0,BENIGN
96955,312,72.19844258,16159.16667,18311.87603,121.1428571,0,0,0,0,BENIGN
69768,70,57.33287467,23256,40273.64538,92.25,0,0,0,0,BENIGN
112207186,11446,0.757527241,1335799.833,4160390.548,287.2941176,454403.125,1258683.866,13600000,3785558.39,BENIGN
164108,68,24.3741926,54702.66667,94741.7358,131,0,0,0,0,BENIGN
5383368,589,2.600602448,414105.2308,1454751.739,356.8571429,127755,0,5255610,0,BENIGN
19,6,105263.1579,19,0,9,0,0,0,0,BENIGN
44183,280,67.89941833,22091.5,31109.16284,186.6666667,0,0,0,0,BENIGN
492891,312,127.8173065,7949.854839,30096.19007,1078.825397,0,0,0,0,BENIGN
1354970,2664,62.73201621,16130.59524,105109.4994,113.1529412,0,0,0,0,BENIGN
23712,64,84.34547908,23712,0,122.5,0,0,0,0,BENIGN
16351,48,122.3166779,16351,0,72,0,0,0,0,BENIGN
189,62,21164.02116,63,103.058236,46.75,0,0,0,0,BENIGN
4,12,500000,4,0,9,0,0,0,0,BENIGN
4,0,750000,2,1.414213562,0,0,0,0,0,BENIGN
253,84,15810.27668,84.33333333,103.6211047,72,0,0,0,0,BENIGN
200,86,20000,66.66666667,32.33161507,89.25,0,0,0,0,BENIGN
7225337,4521,2.076027734,516095.5,1766161.812,574.4,576351,0,6648986,0,BENIGN
30231,44,66.1572558,30231,0,74,0,0,0,0,BENIGN
147,64,27210.88435,49,78.80989786,48,0,0,0,0,BENIGN
106965538,1175,0.233720135,4456897.417,21800000,720.28,0,0,0,0,BENIGN
241,56,16597.51037,80.33333333,96.64539996,132,0,0,0,0,BENIGN
15366208,913,1.301557287,808747.7895,2481466.915,384.4,415696,0,9957196,0,BENIGN
117700232,3605,0.441800319,2307847.686,4139041.683,207.9807692,232267.6364,648064.6396,10000000,2794.726456,BENIGN
90380,61,22.12878956,90380,0,177,0,0,0,0,BENIGN
116612751,842,0.248686355,4164741.107,15200000,182.3103448,158695,57878.10425,58100000,1137983.005,BENIGN
63875691,187,0.140898671,7984461.375,20700000,36.11111111,65441,0,58900000,0,BENIGN
211,142,18957.34597,70.33333333,36.95041723,113.75,0,0,0,0,BENIGN
5824251,12,0.686783588,1941417,3319007.141,3,0,0,0,0,BENIGN
2,6,1000000,2,0,9,0,0,0,0,BENIGN
49999,61,40.00080002,49999,0,105.5,0,0,0,0,BENIGN
24126,72,165.7962364,8042,13885.00353,109,0,0,0,0,BENIGN
195442,192,30.69964491,39088.4,70238.10969,142,0,0,0,0,BENIGN
3,12,666666.6667,3,0,9,0,0,0,0,BENIGN
5807147,611,1.549814393,725893.375,2008056.166,85.88888889,111836,0,5695307,0,BENIGN
20,6,100000,20,0,9,0,0,0,0,BENIGN
61750,60,64.77732794,20583.33333,35608.95163,108.5,0,0,0,0,BENIGN
1996346,1603,6.511897236,166362.1667,563348.4294,207.1538462,0,0,0,0,BENIGN
84080,78,47.5737393,28026.66667,48540.14654,97.75,0,0,0,0,BENIGN
116736905,974,0.471144922,2161794.537,11100000,654.4363636,79462,32570.75256,58300000,255766.8867,BENIGN
14,6,142857.1429,14,0,9,0,0,0,0,BENIGN
229,31,13100.43668,114.5,61.51828996,22.66666667,0,0,0,0,BENIGN
92340,43,21.65908599,92340,0,109,0,0,0,0,BENIGN
56328,435,124.2721204,9388,11234.99239,186.5714286,0,0,0,0,BENIGN
2,483,1000000,2,0,483,0,0,0,0,BENIGN
3891,49,1028.013364,1297,2067.222291,13.75,0,0,0,0,BENIGN
10009598,937,2.997123361,345158.5517,1449628.986,652.3,2422390,0,7587208,0,BENIGN
116051622,13775,0.41360904,2469183.447,4282015.469,396.4791667,57095.5,70607.92112,9613872.75,1376679.071,BENIGN
16,0,125000,16,0,0,0,0,0,0,BENIGN
46755,61,42.77617367,46755,0,116.5,0,0,0,0,BENIGN
6040712,374,2.152064194,503392.6667,1670771.176,290.8461538,232797,0,5807912,0,BENIGN
5457431,12,0.732945593,1819143.667,3121534.699,3,0,0,0,0,BENIGN
135159,57,14.79738678,135159,0,126,0,0,0,0,BENIGN
463857,977,47.42841005,22088.42857,51782.42058,565.0454545,0,0,0,0,BENIGN
23892,55,83.71002846,23892,0,90.5,0,0,0,0,BENIGN
3055878,0,0.981714584,1527939,2114929.512,0,0,0,0,0,BENIGN
194,102,20618.5567,64.66666667,28.00595175,94.25,0,0,0,0,BENIGN
31329,140,191.5158479,6265.8,10775.77249,62.16666667,0,0,0,0,BENIGN
27254,68,146.767447,9084.666667,15729.04207,96,0,0,0,0,BENIGN
163,74,24539.8773,54.33333333,88.91194146,74.75,0,0,0,0,BENIGN
15,6,133333.3333,15,0,9,0,0,0,0,BENIGN
31903,180,250.7601166,4557.571429,11916.11097,106.125,0,0,0,0,BENIGN
23482,52,85.17162082,23482,0,86,0,0,0,0,BENIGN
1,0,2000000,1,0,0,0,0,0,0,BENIGN
102981,546,126.2368786,8581.75,13233.97561,310.8461538,0,0,0,0,BENIGN
74357,49,26.89726589,74357,0,101.5,0,0,0,0,BENIGN
30974,66,129.1405695,10324.66667,17798.84278,75.25,0,0,0,0,BENIGN
5750854,635,1.912759392,575085.4,1730116.462,73,252663,0,5498188,0,BENIGN
4604231,123,1.303149212,920846.2,2035081.329,35.83333333,0,0,0,0,BENIGN
61186671,91,0.065373715,20400000,35300000,68,423,0,61200000,0,BENIGN
72,0,27777.77778,72,0,0,0,0,0,0,BENIGN
968901,1229,8.256777524,138414.4286,265250.5256,256,0,0,0,0,BENIGN
308,66,12987.01299,102.6666667,171.7624328,49.25,0,0,0,0,BENIGN
175,76,22857.14286,58.33333333,95.84014469,55.5,0,0,0,0,BENIGN
987,0,2026.342452,987,0,0,0,0,0,0,BENIGN
116216950,519,0.258137905,4007481.034,4858257.872,44.03333333,78196.18182,171948.9497,9980647.909,58186.66968,BENIGN
118592,46,16.86454398,118592,0,123.5,0,0,0,0,BENIGN
24094,6,83.00821781,24094,0,9,0,0,0,0,BENIGN
5612021,12,0.712755708,1870673.667,3173120.571,3,0,0,0,0,BENIGN
182,74,21978.02198,60.66666667,64.93329911,66.25,0,0,0,0,BENIGN
30671,54,65.20817711,30671,0,109,0,0,0,0,BENIGN
5569518,12,0.718195004,1856506,3184056.43,3,0,0,0,0,BENIGN
169,72,23668.63905,56.33333333,59.93607706,53,0,0,0,0,BENIGN
4,12,500000,4,0,9,0,0,0,0,BENIGN
23585,0,84.7996608,23585,0,0,0,0,0,0,BENIGN
665032,963,21.05161857,51156.30769,81284.26552,334,0,0,0,0,BENIGN
30626,55,65.30399007,30626,0,110.5,0,0,0,0,BENIGN
24593,68,162.6479079,8197.666667,14156.35943,83.5,0,0,0,0,BENIGN
110,6,18181.81818,110,0,9,0,0,0,0,BENIGN
316,86,12658.22785,105.3333333,99.3042463,80.75,0,0,0,0,BENIGN
23373041,903,0.812902352,1298502.278,3195850.565,304.3157895,377620.5,489840.4445,9902311.5,143905.4224,BENIGN
31078,49,64.35420555,31078,0,137.5,0,0,0,0,BENIGN
65994429,1121,0.515195002,1999831.182,3899759.104,288.2352941,267023.3333,353035.1022,10000000,3317.030761,BENIGN
59668,49,33.51880405,59668,0,81.5,0,0,0,0,BENIGN
188,12,10638.29787,188,0,9,0,0,0,0,BENIGN
25041769,1996,0.958398746,1088772.565,1997994.836,198.2083333,0,0,0,0,BENIGN
226,130,17699.11504,75.33333333,88.23453594,113.25,0,0,0,0,BENIGN
11044793,1358,0.905404022,1227199.222,3286253.389,250.8,99943,0,9949924,0,BENIGN
842401,12,2.374166222,842401,0,9,0,0,0,0,BENIGN
257,66,15564.20233,85.66666667,64.37649675,121.25,0,0,0,0,BENIGN
30933,94,129.3117383,10311,17853.11371,122.75,0,0,0,0,BENIGN
23746,62,168.4494231,7915.333333,13703.69732,86.75,0,0,0,0,BENIGN
3189389,6,1.881238068,637877.8,917412.3761,2,0,0,0,0,BENIGN
17,6,176470.5882,8.5,9.192388155,8,0,0,0,0,BENIGN
613046,12,3.262397928,613046,0,9,0,0,0,0,BENIGN
74543,51,26.83015172,74543,0,84.5,0,0,0,0,BENIGN
513,70,7797.270955,171,294.4486373,92.25,0,0,0,0,BENIGN
969935,851,20.61993845,51049.21053,75377.74966,240.05,0,0,0,0,BENIGN
17,6,117647.0588,17,0,9,0,0,0,0,BENIGN
3,31,666666.6667,3,0,31,0,0,0,0,BENIGN
7944705,851,5.160669905,198617.625,797350.5912,559.5609756,0,0,0,0,BENIGN
23964,86,166.9170422,7988,13790.60771,64.75,0,0,0,0,BENIGN
253,43,11857.70751,126.5,109.6015511,16.33333333,0,0,0,0,BENIGN
165,64,24242.42424,55,90.06664199,59.5,0,0,0,0,BENIGN
32308,0,61.90417234,32308,0,0,0,0,0,0,BENIGN
50,0,60000,25,32.52691193,0,0,0,0,0,BENIGN
4874581,117,1.230875023,974916.2,2167381.741,33.16666667,0,0,0,0,BENIGN
115312414,5323,0.364227914,2812497.902,4468374.759,251.4047619,55425.09091,61730.12658,10000000,3870.228581,BENIGN
90863,64,44.02231932,30287.66667,52416.48086,91.5,0,0,0,0,BENIGN
47564,56,84.09721638,15854.66667,27455.89205,80,0,0,0,0,BENIGN
171,84,23391.81287,57,92.66606714,96.5,0,0,0,0,BENIGN
5524036,376,2.89643297,368269.0667,1199181.936,338.875,0,0,0,0,BENIGN
3,12,666666.6667,3,0,9,0,0,0,0,BENIGN
116091021,437,0.267031849,3869700.7,4916551.437,38.16129032,134918,307560.4847,10200000,28541.71681,BENIGN
95,6,21052.63158,95,0,9,0,0,0,0,BENIGN
4,12,500000,4,0,9,0,0,0,0,BENIGN
151,72,26490.06623,50.33333333,81.11925378,73.5,0,0,0,0,BENIGN
90040,60,44.42470013,30013.33333,51979.42209,88.5,0,0,0,0,BENIGN
178,72,22471.91011,59.33333333,95.84014469,98.5,0,0,0,0,BENIGN
85732570,432,0.279940284,3727503.043,4824651.121,91.91666667,27246.5,9516.398343,10000000,8830.125868,BENIGN
136,80,29411.76471,45.33333333,73.32348419,58,0,0,0,0,BENIGN
355,70,11267.60563,118.3333333,199.7631931,83.75,0,0,0,0,BENIGN
3,37,666666.6667,3,0,34,0,0,0,0,BENIGN
120773,376,99.35995628,10979.36364,16951.6829,323.6666667,0,0,0,0,BENIGN
205,66,19512.19512,68.33333333,76.84616668,93.75,0,0,0,0,BENIGN
115072648,439,0.260704872,3968022.345,4983290.582,41.16666667,25958.45455,7573.068868,10200000,36293.43142,BENIGN
2427146,91,1.648026118,809048.6667,1288263.213,122.75,0,0,0,0,BENIGN
73314,62,54.5598385,24438,42324.39355,104.25,0,0,0,0,BENIGN
3,59,666666.6667,3,0,32.5,0,0,0,0,BENIGN
60359,45,33.13507513,60359,0,100,0,0,0,0,BENIGN
8040,44,373.1343284,4020,5547.959805,27.33333333,0,0,0,0,BENIGN
46984,60,85.13536523,15661.33333,27121.89496,88.5,0,0,0,0,BENIGN
30660,42,65.23157208,30660,0,71,0,0,0,0,BENIGN
171,82,23391.81287,57,92.66606714,92.75,0,0,0,0,BENIGN
768,104,5208.333333,256,438.2088543,95,0,0,0,0,BENIGN
199,12,10050.25126,199,0,9,0,0,0,0,BENIGN
72,6,27777.77778,72,0,9,0,0,0,0,BENIGN
27,12,74074.07407,27,0,9,0,0,0,0,BENIGN
5929677,352,2.361005498,456129,1571532.774,241.6428571,244088,0,5685572,0,BENIGN
62,0,32258.06452,62,0,0,0,0,0,0,BENIGN
23358,64,171.2475383,7786,13480.55144,62,0,0,0,0,BENIGN
3314499,0,1.810228333,662899.8,936206.9432,0,0,0,0,0,BENIGN
77628,80,51.52779925,25876,44773.51928,114,0,0,0,0,BENIGN
189,76,21164.02116,63,25.11971337,61.5,0,0,0,0,BENIGN
332,31,9036.144578,166,230.5168107,10.33333333,0,0,0,0,BENIGN
115440510,613,0.259874112,3980707.241,4879076.325,113.5666667,43218.90909,36220.38373,10000000,6373.670156,BENIGN
30677,56,65.19542328,30677,0,92,0,0,0,0,BENIGN
48680,156,123.253903,9736,14119.12418,65.5,0,0,0,0,BENIGN
50331,168,119.2108243,10066.2,14220.50691,69,0,0,0,0,BENIGN
50535,78,79.15306223,16845,29131.37161,69.25,0,0,0,0,BENIGN
60473448,1448,0.413404574,2519727,4384500.22,234.64,125673,103264.6803,9953197.167,118461.6492,BENIGN
171,86,23391.81287,57,93.53074361,102.25,0,0,0,0,BENIGN
72746427,1184,0.549855184,1865293,9525382.556,148.8,441255,0,58200000,0,BENIGN
32380,66,123.5330451,10793.33333,18652.18128,59.75,0,0,0,0,BENIGN
31305,70,127.7751158,10435,18033.26229,67.75,0,0,0,0,BENIGN
174967,376,68.58436162,15906.09091,20269.52572,323.6666667,0,0,0,0,BENIGN
52,6,38461.53846,52,0,9,0,0,0,0,BENIGN
46458532,2815,14.52908585,68929.5727,801187.2811,986.1333333,133275,236387.3584,10000000,14288.41847,BENIGN
60756,62,65.83711897,20252,35073.16283,78.75,0,0,0,0,BENIGN
30870,54,64.78781989,30870,0,89,0,0,0,0,BENIGN
208,70,19230.76923,69.33333333,35.21836642,51.75,0,0,0,0,BENIGN
252551,31,15.83838512,84183.66667,145725.5173,9.25,0,0,0,0,BENIGN
251938,47,7.93846105,251938,0,78.5,0,0,0,0,BENIGN
31238,82,128.0491709,10412.66667,18030.07156,136.75,0,0,0,0,BENIGN
6450,6,310.0775194,6450,0,9,0,0,0,0,BENIGN
204,84,19607.84314,68,109.1604324,72,0,0,0,0,BENIGN
24224,102,165.1254954,8074.666667,13941.58543,104.75,0,0,0,0,BENIGN
714,0,4201.680672,357,503.4600282,0,0,0,0,0,BENIGN
191700,598,88.68022953,11981.25,16616.08321,224.4705882,0,0,0,0,BENIGN
24400,66,163.9344262,8133.333333,14030.22097,103.75,0,0,0,0,BENIGN
30981,68,129.1113909,10327,17881.69254,50.5,0,0,0,0,BENIGN
31997,0,62.50585992,31997,0,0,0,0,0,0,BENIGN
117825237,3027,2.32547803,431594.2747,1996009.022,1056.208029,187737.1667,568940.9159,9631032.333,1336941.202,BENIGN
85674011,11595,0.140065813,7788546.455,25800000,998.75,10924,0,85500000,0,BENIGN
175,6,11428.57143,175,0,9,0,0,0,0,BENIGN
31416,144,190.9854851,6283.2,13618.22449,84.66666667,0,0,0,0,BENIGN
999329,12,2.001342901,999329,0,9,0,0,0,0,BENIGN
164,90,24390.2439,54.66666667,55.89573627,64.25,0,0,0,0,BENIGN
206,46,19417.47573,68.66666667,113.742399,28.75,0,0,0,0,BENIGN
5083312,371,2.754109919,391024,1364745.545,284.4285714,0,0,0,0,BENIGN
75,0,26666.66667,75,0,0,0,0,0,0,BENIGN
118222001,1494,0.905076882,1115301.896,8046654.33,806.7009346,230128.5,229359.2769,58900000,96248.54663,BENIGN
46820,60,85.4335754,15606.66667,27025.47743,88.5,0,0,0,0,BENIGN
298,86,13422.81879,99.33333333,130.9669169,101.25,0,0,0,0,BENIGN
5416116,345,2.769512322,386865.4286,1383755.634,266.9333333,222113,0,5194000,0,BENIGN
180,88,22222.22222,60,62.23343153,80,0,0,0,0,BENIGN
30753,68,130.0686112,10251,17711.09982,50.5,0,0,0,0,BENIGN
30751,40,65.03853533,30751,0,96,0,0,0,0,BENIGN
169604,58,11.79217471,169604,0,146,0,0,0,0,BENIGN
46,0,43478.26087,46,0,0,0,0,0,0,BENIGN
251,6,11952.19124,125.5,176.0695885,8,0,0,0,0,BENIGN
1,12,2000000,1,0,9,0,0,0,0,BENIGN
6001,58,499.9166806,3000.5,4135.867563,21.33333333,0,0,0,0,BENIGN
64,6,46875,32,24.04163056,8,0,0,0,0,BENIGN
4124395,135,1.454758819,824879,1825199.365,37.83333333,0,0,0,0,BENIGN
256074,0,7.810242352,256074,0,0,0,0,0,0,BENIGN
100904,376,59.46245937,20180.8,31073.46031,109.6666667,0,0,0,0,BENIGN
370,80,10810.81081,123.3333333,208.4234472,114,0,0,0,0,BENIGN
242,62,16528.92562,80.66666667,55.71654452,126.75,0,0,0,0,BENIGN
30873,54,129.5630486,10291,17818.47269,75.75,0,0,0,0,BENIGN
30486,144,262.415535,4355.142857,8858.035889,54.5,0,0,0,0,BENIGN
159,52,25157.2327,53,85.73797292,48.5,0,0,0,0,BENIGN
48282,44,41.42330475,48282,0,96.5,0,0,0,0,BENIGN
30857,78,129.6302298,10285.66667,17810.1011,75.25,0,0,0,0,BENIGN
23330,71,85.72653236,23330,0,140.5,0,0,0,0,BENIGN
50116,94,39.9074148,50116,0,169.5,0,0,0,0,BENIGN
48402,336,123.9618198,9680.4,14050.95749,125.3333333,0,0,0,0,BENIGN
247,74,16194.33198,82.33333333,137.4093641,142.75,0,0,0,0,BENIGN
198,72,20202.0202,66,29.44486373,79,0,0,0,0,BENIGN
23843,68,167.7641236,7947.666667,13760.56632,60,0,0,0,0,BENIGN
5310193,12,0.75326829,1770064.333,3032486.959,3,0,0,0,0,BENIGN
47976,56,41.68751042,47976,0,92,0,0,0,0,BENIGN
847024,43,2.361208183,847024,0,115,0,0,0,0,BENIGN
59459,152,100.9098707,11891.8,16318.35878,64.66666667,0,0,0,0,BENIGN
6007318,12,0.665854546,2002439.333,3424305.036,3,0,0,0,0,BENIGN
134,6,14925.37313,134,0,9,0,0,0,0,BENIGN
115074818,519,0.260699956,3968097.172,4876086.911,44.03333333,29934.54545,20405.2632,10000000,16797.13312,BENIGN
40,6,50000,40,0,9,0,0,0,0,BENIGN
3,37,666666.6667,3,0,34,0,0,0,0,BENIGN
106,6,18867.92453,106,0,9,0,0,0,0,BENIGN
3,12,666666.6667,3,0,9,0,0,0,0,BENIGN
117657,279,42.49640905,29414.25,58583.17285,58.2,0,0,0,0,BENIGN
30231092,840,0.496177908,2159363.714,8039511.71,105,139306,0,30100000,0,BENIGN
30859,72,129.6218283,10286.33333,17812.98788,109,0,0,0,0,BENIGN
60677,47,32.96141866,60677,0,78.5,0,0,0,0,BENIGN
82558,1478,181.6904479,5897,9356.003165,132.6,0,0,0,0,BENIGN
217700,553,82.68259072,12805.88235,19939.37471,378.7222222,0,0,0,0,BENIGN
2516,12,794.9125596,2516,0,9,0,0,0,0,BENIGN
219,78,18264.84018,73,82.23746105,74.25,0,0,0,0,BENIGN
597973,1861,73.58191758,13906.34884,52801.03007,580.8181818,0,0,0,0,BENIGN
25,0,80000,25,0,0,0,0,0,0,BENIGN
2004090,1602,6.486734628,167007.5,563394.1219,206.9230769,0,0,0,0,BENIGN
10750,18,279.0697674,5375,7595.741044,8,0,0,0,0,BENIGN
1,12,2000000,1,0,9,0,0,0,0,BENIGN
3,12,666666.6667,3,0,9,0,0,0,0,BENIGN
243,6,12345.67901,121.5,170.4127343,8,0,0,0,0,BENIGN
31301,128,255.5828887,4471.571429,11474.35973,58,0,0,0,0,BENIGN
48734,84,82.07822054,16244.66667,28133.12393,102.5,0,0,0,0,BENIGN
1,37,2000000,1,0,34,0,0,0,0,BENIGN
5445029,377,2.387498763,453752.4167,1522837.713,379.5384615,155952,0,5289074,0,BENIGN
63467,44,31.51243954,63467,0,111.5,0,0,0,0,BENIGN
149796,6,13.35149136,149796,0,9,0,0,0,0,BENIGN
47341,68,84.49335671,15780.33333,27328.87501,109,0,0,0,0,BENIGN
712,46,2808.988764,712,0,77,0,0,0,0,BENIGN
189,70,21164.02116,63,67.10439628,51.75,0,0,0,0,BENIGN
54737,50,36.53835614,54737,0,126.5,0,0,0,0,BENIGN
29415862,55,0.135981057,9805287.333,17000000,15.25,43,0,29400000,0,BENIGN
54,0,37037.03704,54,0,0,0,0,0,0,BENIGN
444,0,4504.504505,444,0,0,0,0,0,0,BENIGN
3,54,666666.6667,3,0,40.5,0,0,0,0,BENIGN
60915314,1060,0.476070763,2175546.929,4169207.722,155.6896552,83881.33333,81734.6271,10000000,27878.85742,BENIGN
97571,62,40.99578768,32523.66667,56290.21278,74.25,0,0,0,0,BENIGN
4,37,500000,4,0,34,0,0,0,0,BENIGN
61092660,1371,0.458320198,2262691.111,4213611.251,192.6071429,137805.5,128366.2536,9997854,22120.05901,BENIGN
54,0,37037.03704,54,0,0,0,0,0,0,BENIGN
179,74,22346.36872,59.66666667,98.14954576,93.25,0,0,0,0,BENIGN
187,84,21390.37433,62.33333333,102.7683479,82.5,0,0,0,0,BENIGN
